Sector de actividad económica;Tipo de equipo e instalación;Ámbito medioambiental;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2020;109.727.889
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2019;148.271.170
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2018;116.326.264
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2017;144.983.043
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2016;140.996.962
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2015;114.581.569
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2014;107.673.765
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2013;146.397.379
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2012;170.692.573
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2011;190.758.786
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2010;222.354.855
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2009;289.027.888
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;;2008;406.814.961
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;01 Andalucía;2020;25.486.523
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;01 Andalucía;2019;18.229.928
C. Industria manufacturera;INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;Total Nacional;01 Andalucía;2018;17.182.741
